C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_002.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_002.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_002.jpg, 0, 0, 0, 7.885545E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_105.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_105.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_105.jpg, 0, 0, 0, 7.92452E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_205.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_205.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_205.jpg, 0, 0, 0, 7.823611E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_309.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_309.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_309.jpg, 0, 0, 0, 7.825282E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_410.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_410.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_410.jpg, 0, 0, 0, 7.846533E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_510.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_510.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_510.jpg, 0, 0, 0, 7.820887E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_614.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_614.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_614.jpg, 0, 0, 0, 7.858521E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_714.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_714.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_714.jpg, 0, 0, 0, 7.77876E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_816.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_816.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_816.jpg, 0, 0, 0, 7.930198E-05
C:\Users\IRANSY~1\Desktop\data_car\IMG\center_2024_05_23_09_01_44_925.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\left_2024_05_23_09_01_44_925.jpg, C:\Users\IRANSY~1\Desktop\data_car\IMG\right_2024_05_23_09_01_44_925.jpg, 0, 0, 0, 7.834892E-05
